Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Net.Reaction.Rate
RADM2,288,9.11969631756104e-12,1348722.625,176706.28125
RADM2,288,2.98554861388745e-11,4089251.75,589331.8125
RADM2,288,5.26370821929412e-11,6903793.5,1005480.5625
RADM2,288,7.65252791690152e-11,9805887,1430215.75
RADM2,288,1.01033528765448e-10,12801769,1873101.375
RADM2,288,1.26002125400149e-10,15894183,2339177
RADM2,288,1.51364754064076e-10,19084550,2831142.5
RADM2,288,1.77094186537552e-10,22373582,3350255.5
RADM2,288,2.03182581870465e-10,25761522,3896935.75
RADM2,288,2.29632091119925e-10,29248352,4471260.5
RADM2,288,2.56449972368955e-10,32833664,5073075.5
RADM2,288,2.83646162113627e-10,36516756,5702016
RADM2,288,3.11232317695698e-10,40296492,6357407
RADM2,288,3.39221872813766e-10,44171564,7038454.5
RADM2,288,3.67654462429812e-10,48140300,7744281.5
RADM2,288,3.96745913899821e-10,52200700,8473872
RADM2,288,4.26344820558811e-10,56350692,9226385
RADM2,288,4.56470528042985e-10,60587812,10000857
RADM2,288,4.87144435901143e-10,64909344,10795920
RADM2,288,5.18387999193237e-10,69312504,11610033
RADM2,288,5.50222367667885e-10,73794288,12441681
RADM2,288,5.82668802096009e-10,78351536,13289072
RADM2,288,6.15912709722721e-10,82981184,14150788
RADM2,288,6.5029709395148e-10,87679896,15025902
RADM2,288,6.85440759706779e-10,92444464,15912745
RADM2,288,7.21365966960263e-10,97271648,16809560
RADM2,288,7.58093809949401e-10,102158216,17714684
RADM2,288,7.95766896821704e-10,107101176,18626870
RADM2,288,8.35015445677101e-10,112097248,19544436
RADM2,288,8.75200578676072e-10,117143744,20465734
RADM2,288,9.16337561385205e-10,122237624,21389278
RADM2,288,9.58443657772534e-10,127376472,22314484
RADM2,288,1.00153285664817e-09,132557568,23239538
RADM2,288,1.04608621764868e-09,137778688,24162764
RADM2,288,1.09205855469696e-09,143037456,25083216
RADM2,288,1.13909370824672e-09,148331936,25999634
RADM2,288,1.18719933883682e-09,153660064,26910602
RADM2,288,1.23638344007304e-09,159020432,27814958
RADM2,288,1.2866467891115e-09,164410688,28711594
RADM2,288,1.33799560320114e-09,169829712,29599620
RADM2,288,1.39043343505563e-09,175275728,30478940
RADM2,288,1.44396206103181e-09,180747808,31347700
RADM2,288,1.49857826148292e-09,186244112,32205118
RADM2,288,1.55428536707802e-09,191763888,33050474
RADM2,288,1.61121205266568e-09,197305952,33883120
RADM2,288,1.66968416870361e-09,202869024,34702544
RADM2,288,1.72925074259922e-09,208452224,35508312
RADM2,288,1.78990733346041e-09,214054496,36299932
RADM2,288,1.85164783506053e-09,219675040,37076764
RADM2,288,1.91446503094994e-09,225313008,37838488
RADM2,288,1.9462749190069e-09,228138096,38213636
RADM2,288,2.63638888498008e-09,285353920,44869160
RADM2,288,3.41853034768747e-09,343480096,49909048
RADM2,288,4.27354596155283e-09,401982720,53487736
RADM2,288,5.18166842766732e-09,460455712,55861036
RADM2,288,6.12544859279751e-09,518584064,57305184
RADM2,288,7.09105929530551e-09,576149376,58033456
RADM2,288,8.06784328233334e-09,632998272,58236988
RADM2,288,9.04778829635688e-09,689026560,58052544
RADM2,288,1.0025017260773e-08,744175296,57599264
RADM2,288,1.09954418903158e-08,798422080,56969248
RADM2,288,1.19560157330056e-08,851756992,56219704
RADM2,288,1.29046977548342e-08,904186176,55394380
RADM2,288,1.38402151961259e-08,955728768,54524596
RADM2,288,1.47613468115537e-08,1006393856,53651240
RADM2,288,1.56681174701134e-08,1056205184,52749564
RADM2,288,1.65638933680157e-08,1105186816,51847788
RADM2,288,1.74443783862444e-08,1153361920,50953156
RADM2,288,1.83095725247995e-08,1200755712,50071996
RADM2,288,1.91595681542367e-08,1247392000,49206664
RADM2,288,1.99945624501652e-08,1293295104,48357980
RADM2,288,2.08148005498288e-08,1338487296,47527736
RADM2,288,2.16206199610269e-08,1382989952,46716816
RADM2,288,2.24124061531938e-08,1426830336,45925676
RADM2,288,2.31903953817891e-08,1470024192,45154388
RADM2,288,2.39549624581059e-08,1512588416,44402268
RADM2,288,2.47064697589394e-08,1554544384,43667396
RADM2,288,2.54452814374417e-08,1595908608,42957532
RADM2,288,2.61717527649807e-08,1636698112,42267300
RADM2,288,2.68864219776788e-08,1676937600,41599332
RADM2,288,2.75895004619997e-08,1716632832,40949024
RADM2,288,2.82812973040336e-08,1755799552,40326476
RADM2,288,2.89621411297958e-08,1794450048,39722692
RADM2,288,2.96323623416583e-08,1832595968,39126684
RADM2,288,3.02923197637028e-08,1870256512,38564936
RADM2,288,3.0942381101795e-08,1907443456,38012712
RADM2,288,3.15827648478262e-08,1944163584,37475008
RADM2,288,3.22137339026085e-08,1980430336,36951060
RADM2,288,3.28355795886637e-08,2016249216,36440300
RADM2,288,3.34485434905218e-08,2051636608,35941880
RADM2,288,3.4052913377991e-08,2086596736,35457904
RADM2,288.5,9.2703336326827e-12,1369522.625,175514.828125
RADM2,288.5,3.03387662214938e-11,4152808.5,589024.6875
RADM2,288.5,5.34961970555248e-11,7011774.5,1007743.875
RADM2,288.5,7.77668901497108e-11,9959972,1435708.5
RADM2,288.5,1.0266826278027e-10,13003588,1882252.25
RADM2,288.5,1.28038080138282e-10,16145316,2352376.25
RADM2,288.5,1.53809048830666e-10,19386512,2848773.75
RADM2,288.5,1.79953302259506e-10,22727806,3372648.5
RADM2,288.5,2.06462819063447e-10,26169410,3924416.75
RADM2,288.5,2.33339764177387e-10,29711222,4504129.5
RADM2,288.5,2.60591326295412e-10,33352774,5111566
RADM2,288.5,2.88227802736074e-10,37093216,5746401
RADM2,288.5,3.16260906352284e-10,40931488,6407895
RADM2,288.5,3.44704431665122e-10,44866088,7095227
RADM2,288.5,3.73688580079801e-10,48895232,7807476
RADM2,288.5,4.03262478965161e-10,53016992,8543664
RADM2,288.5,4.33351604600674e-10,57228996,9302810
RADM2,288.5,4.63977301023988e-10,61528840,10084083
RADM2,288.5,4.95161245339659e-10,65913768,10885956
RADM2,288.5,5.26925170163395e-10,70380824,11706860
RADM2,288.5,5.59290669333024e-10,74926912,12545187
RADM2,288.5,5.92279059130618e-10,79548968,13399239
RADM2,288.5,6.2625332697408e-10,84243632,14267562
RADM2,288.5,6.6122074482422e-10,89007640,15149121
RADM2,288.5,6.96959379098416e-10,93837816,16042575
RADM2,288.5,7.33491489768312e-10,98730664,16945910
RADM2,288.5,7.70838171071375e-10,103683152,17857498
RADM2,288.5,8.09340150453863e-10,108692032,18775958
RADM2,288.5,8.49242787204219e-10,113754152,19699798
RADM2,288.5,8.90093221350696e-10,118866776,20627324
RADM2,288.5,9.3190422045808e-10,124026936,21557150
RADM2,288.5,9.7469388116167e-10,129231944,22488622
RADM2,288.5,1.01847552613776e-09,134479312,23419654
RADM2,288.5,1.06383779563402e-09,139766784,24348842
RADM2,288.5,1.11051157158926e-09,145092112,25274854
RADM2,288.5,1.1582539372057e-09,150453056,26196662
RADM2,288.5,1.2070717758661e-09,155847840,27113016
RADM2,288.5,1.25697241504241e-09,161274736,28022640
RADM2,288.5,1.30795696495767e-09,166731808,28924256
RADM2,288.5,1.36003108774929e-09,172217744,29817294
RADM2,288.5,1.41319800306405e-09,177730752,30701258
RADM2,288.5,1.46745926521419e-09,183269904,31574600
RADM2,288.5,1.52281265375365e-09,188833696,32436410
RADM2,288.5,1.57925916788315e-09,194420912,33285990
RADM2,288.5,1.63679936271421e-09,200030336,34122724
RADM2,288.5,1.69577207831395e-09,205661104,34946084
RADM2,288.5,1.75605152641367e-09,211312176,35755440
